date_confirmation,city,province,country,latitude,longitude,country_new,Record Count
28.02.2020,null,Daegu,South Korea,35.78134,128.58,South Korea,182
27.02.2020,null,Lombardia,Italy,45.62741,9.770862,Italy,145
26.02.2020,null,Daegu,South Korea,35.78134,128.58,South Korea,134
22.02.2020,null,North Gyeongsang,South Korea,36.3174,128.7493,South Korea,117
29.01.2020,Wenzhou City,Zhejiang,China,27.905379999999997,120.4404,China,112
23.02.2020,null,Daegu,South Korea,35.78134,128.58,South Korea,93
18.02.2020,Yokohama port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,88
17.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,85
22.02.2020,null,Daegu,South Korea,35.78134,128.58,South Korea,85
16.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,85
24.02.2020,null,Lombardia,Italy,45.62741,9.770862,Italy,84
01.02.2020,null,Guangdong,China,23.35183,113.4305,China,83
01.02.2020,null,Henan,China,33.90335,113.6136,China,70
31.01.2020,null,Sichuan,China,30.66507,102.7093,China,69
25.02.2020,null,Lombardia,Italy,45.62741,9.770862,Italy,68
15.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,67
10.02.2020,Yokohama,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,65
03.02.2020,Shenzhen City,Guangdong,China,22.65389,114.1291,China,62
31.01.2020,Shenzhen City,Guangdong,China,22.65389,114.1291,China,60
30.01.2020,Wenzhou City,Zhejiang,China,27.905379999999997,120.4404,China,55
01.02.2020,null,Hunan,China,27.63327,111.7063,China,55
31.01.2020,null,Shandong,China,36.359190000000005,118.1603,China,54
27.02.2020,null,Emilia-Romagna,Italy,44.53882,11.01768,Italy,50
28.02.2020,null,North Gyeongsang,South Korea,36.3174,128.7493,South Korea,49
03.02.2020,Wenzhou City,Zhejiang,China,27.905379999999997,120.4404,China,49
13.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,44
06.02.2020,Guangzhou City,Guangdong,China,23.349829999999997,113.5364,China,44
29.01.2020,Nanchang City,Jiangxi,China,28.66149,116.0257,China,42
29.01.2020,Taizhou City,Zhejiang,China,28.775,121.1116,China,42
24.02.2020,null,Daegu,South Korea,35.78134,128.58,South Korea,42
27.01.2020,Wenzhou City,Zhejiang,China,27.905379999999997,120.4404,China,42
07.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,41
12.02.2020,Yokohama Port,Kanagawa Prefecture,Japan,35.45085,139.6651,Japan,40
27.02.2020,null,Veneto,Italy,45.66677,11.84727,Italy,40
01.02.2020,null,Beijing,China,40.18535,116.4151,China,39
31.01.2020,null,Shanghai,China,31.2045,121.4555,China,39
03.02.2020,Guangzhou City,Guangdong,China,23.349829999999997,113.5364,China,38
30.01.2020,null,Guangdong,China,23.35183,113.4305,China,37
29.01.2020,Hangzhou City,Zhejiang,China,29.901659999999996,119.4715,China,37
05.02.2020,null,Heilongjiang,China,48.03987,127.6804,China,37
04.02.2020,null,Heilongjiang,China,48.03987,127.6804,China,35
01.02.2020,null,Shanghai,China,31.2045,121.4555,China,34
25.02.2020,null,North Gyeongsang,South Korea,36.3174,128.7493,South Korea,33
29.01.2020,Changsha City,Hunan,China,28.227590000000003,113.1532,China,33
05.02.2020,Wenzhou City,Zhejiang,China,27.905379999999997,120.4404,China,32
31.01.2020,null,Shaanxi,China,35.26458,108.8832,China,31
31.01.2020,Guangzhou City,Guangdong,China,23.349829999999997,113.5364,China,31
29.01.2020,null,Shanghai,China,31.2045,121.4555,China,30
02.02.2020,Shenzhen City,Guangdong,China,22.65389,114.1291,China,30
